Garden,City,Province
"Royal Botanical Gardens, Ontario",Burlington,Ontario
Innisfree Farm and Botanic Garden,Courtenay,British Columbia
University of Guelph Arboretum,Guelph,Ontario
The Fanshawe College Botanical Gardens,London,Ontario
Montreal Botanical Garden / Jardin botanique de Montréal,Montreal,Quebec
University of Alberta Botanic Garden,Parkland County,Alberta
Milner Gardens and Woodland,Qualicum Beach,British Columbia
Memorial University Botanical Garden,St. John‘s,Newfoundland
Mount Pleasant Cemetery,Toronto,Ontario
Toronto Botanical Garden,Toronto,Ontario
Toronto Zoo,Toronto,Ontario
The Maritime Aboriginal Peoples Council,Truro Heights,Nova Scotia
University of British Columbia Botanical Garden,Vancouver,British Columbia
VanDusen Botanical Garden,Vancouver,British Columbia
The Gardens at HCP,Victoria,British Columbia
