Group,crop,garden,variant,latitude,longitude,country,IUCNRedList,ECO_CODE,province,geometry,
Trees,Fir,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,British Columbia,c(-121.863333, 49.203055)
Trees,Fir,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,British Columbia,c(-121.863333, 49.203055)
Trees,Fir,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,British Columbia,c(-121.863333, 49.203055)
Trees,Fir,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,British Columbia,c(-121.863333, 49.203055)
Trees,Fir,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,British Columbia,c(-121.863333, 49.203055)
Trees,Fir,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,British Columbia,c(-121.863333, 49.203055)
Trees,Fir,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,British Columbia,c(-121.863333, 49.203055)
Trees,Fir,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,British Columbia,c(-121.863333, 49.203055)
Trees,Fir,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,British Columbia,c(-121.863333, 49.203055)
Trees,Fir,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,British Columbia,c(-121.863333, 49.203055)
Trees,Fir,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,British Columbia,c(-121.863333, 49.203055)
Trees,Fir,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,British Columbia,c(-121.863333, 49.203055)
Trees,Fir,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Fir,UBC,NA,55.1,-127.4,Canada,Least concern,NA0518,British Columbia,c(-127.4, 55.1)
Trees,Fir,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Fir,UBC,NA,49.48356,-123.56923,Canada,Least concern,NA0514,British Columbia,c(-123.56923, 49.48356)
Trees,Fir,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Fir,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Fir,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Fir,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Fir,UBC,NA,49.666667,-115.433333,Canada,Least concern,NA0504,British Columbia,c(-115.433333, 49.666667)
Trees,Fir,UBC,NA,49.666667,-115.433333,Canada,Least concern,NA0504,British Columbia,c(-115.433333, 49.666667)
Trees,Fir,UBC,NA,49.666667,-115.433333,Canada,Least concern,NA0504,British Columbia,c(-115.433333, 49.666667)
Trees,Fir,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Fir,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Fir,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Fir,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Fir,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Fir,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
