crop,species,ECO_CODE,ECO_NAME,province,X,garden,variant,latitude,longitude,country,IUCNRedList,geometry,
Wheat,Elymus albicans,NA0808,Fescue-Mixed Grass Prairie,Alberta,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus albicans,NA0811,Northern Tallgrass Prairie,Manitoba,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus albicans,NA0801,Aspen Parkland,Saskatchewan,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus albicans,NA0603,Boreal Plains,Saskatchewan,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus albicans,NA0504,Canadian Rocky Mountains,Alberta,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus albicans,NA0808,Fescue-Mixed Grass Prairie,Saskatchewan,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0603,Boreal Plains,Alberta,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0504,Canadian Rocky Mountains,British Columbia,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0504,Canadian Rocky Mountains,Alberta,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0603,Boreal Plains,Northwest Territories,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus scribneri,NA0810,Northern Great Plains Steppe,Alberta,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus scribneri,NA0504,Canadian Rocky Mountains,Alberta,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0801,Aspen Parkland,Alberta,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0810,Northern Great Plains Steppe,Alberta,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0602,Boreal Cordillera,Yukon,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0808,Fescue-Mixed Grass Prairie,Alberta,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0608,Taiga Plains,Northwest Territories,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0610,Yukon Plateau And Flats,Yukon,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0609,Western Taiga Shield,Northwest Territories,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0603,Boreal Plains,Manitoba,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0604,Boreal Shield,Manitoba,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA1109,Taiga Cordillera,Yukon,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA1109,Taiga Cordillera,Northwest Territories,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0603,Boreal Plains,Saskatchewan,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0404,Great Lakes,Ontario,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0411,Northern Appalachian / Acadian,New Brunswick,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus macrourus,NA0608,Taiga Plains,Northwest Territories,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0608,Taiga Plains,Alberta,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0604,Boreal Shield,Saskatchewan,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0606,Hudson Plains,Ontario,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus lanceolatus,NA0602,Boreal Cordillera,Yukon,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus alaskanus,NA1107,Northern Arctic,Nunavut,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0605,Eastern Taiga Shield,Quebec,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus alaskanus,NA1108,Southern Arctic,Northwest Territories,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0606,Hudson Plains,Manitoba,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus elymoides,NA0504,Canadian Rocky Mountains,British Columbia,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0604,Boreal Shield,Quebec,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA0606,Hudson Plains,Quebec,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus violaceus,NA1107,Northern Arctic,Nunavut,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Wheat,Elymus alaskanus,NA1107,Northern Arctic,Northwest Territories,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
