Group,crop,species,province,garden,variant,latitude,longitude,country,IUCNRedList,ECO_CODE,ECO_NAME,geometry,
Trees,Fir,Abies amabilis,British Columbia,UBC,NA,55.1,-127.4,Canada,Least concern,NA0518,S.E. Alaska - B.C. Coastal Forest And Mountains,c(-127.4, 55.1)
Trees,Fir,Abies amabilis,British Columbia,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,c(-121.863333, 49.203055)
Trees,Fir,Abies amabilis,British Columbia,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,c(-121.863333, 49.203055)
Trees,Fir,Abies amabilis,British Columbia,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,c(-121.863333, 49.203055)
Trees,Fir,Abies amabilis,British Columbia,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,c(-121.863333, 49.203055)
Trees,Fir,Abies amabilis,British Columbia,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,c(-121.863333, 49.203055)
Trees,Fir,Abies amabilis,British Columbia,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,c(-121.863333, 49.203055)
Trees,Fir,Abies amabilis,British Columbia,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,c(-121.863333, 49.203055)
Trees,Fir,Abies amabilis,British Columbia,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,c(-121.863333, 49.203055)
Trees,Fir,Abies amabilis,British Columbia,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,c(-121.863333, 49.203055)
Trees,Fir,Abies amabilis,British Columbia,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,c(-121.863333, 49.203055)
Trees,Fir,Abies amabilis,British Columbia,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,c(-121.863333, 49.203055)
Trees,Fir,Abies amabilis,British Columbia,UBC,NA,49.48356,-123.56923,Canada,Least concern,NA0514,North Cascades,c(-123.56923, 49.48356)
Trees,Fir,Abies amabilis,British Columbia,UBC,NA,49.203055,-121.863333,Canada,Least concern,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,c(-121.863333, 49.203055)
Trees,Fir,Abies grandis,British Columbia,UBC,NA,49.383333,-121.383333,Canada,Least concern,NA0514,North Cascades,c(-121.383333, 49.383333)
Trees,Fir,Abies grandis,British Columbia,UBC,NA,49.266667,-122.166667,Canada,Least concern,NA0514,North Cascades,c(-122.166667, 49.266667)
Trees,Fir,Abies grandis,British Columbia,Royal Botanical Garden,idahoensis,NA,NA,Canada,NA,NA,NA,c(NA, NA)
Trees,Fir,Abies lasiocarpa,British Columbia,UBC,NA,49.666667,-115.433333,Canada,Least concern,NA0504,Canadian Rocky Mountains,c(-115.433333, 49.666667)
Trees,Fir,Abies lasiocarpa,British Columbia,UBC,NA,49.666667,-115.433333,Canada,Least concern,NA0504,Canadian Rocky Mountains,c(-115.433333, 49.666667)
Trees,Fir,Abies lasiocarpa,British Columbia,UBC,NA,49.666667,-115.433333,Canada,Least concern,NA0504,Canadian Rocky Mountains,c(-115.433333, 49.666667)
Trees,Fir,Abies lasiocarpa,Alberta,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Fir,Abies lasiocarpa,Northwest Territories,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Fir,Abies lasiocarpa,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer glabrum,British Columbia,UBC,douglasii,50.267092,-122.879315,Canada,NA,NA0514,North Cascades,c(-122.879315, 50.267092)
Trees,Maple,Acer glabrum,British Columbia,UBC,douglasii,50.267092,-122.879315,Canada,NA,NA0514,North Cascades,c(-122.879315, 50.267092)
Trees,Maple,Acer glabrum,British Columbia,UBC,douglasii,49.34259,-121.4678,Canada,NA,NA0514,North Cascades,c(-121.4678, 49.34259)
Trees,Maple,Acer glabrum,British Columbia,UBC,douglasii,50.267092,-122.879315,Canada,NA,NA0514,North Cascades,c(-122.879315, 50.267092)
Trees,Maple,Acer glabrum,British Columbia,UBC,douglasii,50.267092,-122.879315,Canada,NA,NA0514,North Cascades,c(-122.879315, 50.267092)
Trees,Maple,Acer glabrum,British Columbia,UBC,douglasii,50.267092,-122.879315,Canada,NA,NA0514,North Cascades,c(-122.879315, 50.267092)
Trees,Maple,Acer glabrum,Newfoundland and Labrador,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer glabrum,Alberta,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer macrophyllum,British Columbia,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer macrophyllum,Newfoundland and Labrador,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer negundo,Alberta,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer negundo,Quebec,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer negundo,Manitoba,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer negundo,Ontario,Royal Botanical Garden,NA,NA,NA,Canada,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer negundo,Ontario,University of Guelph Arboretum, negundo,43.284197,-80.462618,Canada,NA,NA0404,Great Lakes,c(-80.462618, 43.284197)
Trees,Maple,Acer negundo,British Columbia,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer negundo,Northwest Territories,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer negundo,Prince Edward Island,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer negundo,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer negundo,Saskatchewan,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer negundo,Nova Scotia,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer negundo,New Brunswick,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer nigrum,Quebec,Montreal Botanical Garden,NA,NA,NA,Canada,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer nigrum,Quebec,Montreal Botanical Garden,NA,NA,NA,Canada,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer nigrum,Ontario,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer nigrum,British Columbia,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer pensylvanicum,British Columbia,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer pensylvanicum,Quebec,Montreal Botanical Garden,NA,NA,NA,Canada,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer pensylvanicum,Quebec,Montreal Botanical Garden,NA,NA,NA,Canada,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer pensylvanicum,Quebec,Montreal Botanical Garden,NA,NA,NA,Canada,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer pensylvanicum,Quebec,Montreal Botanical Garden,NA,NA,NA,Canada,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer pensylvanicum,Quebec,Montreal Botanical Garden,NA,NA,NA,Canada,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer pensylvanicum,Prince Edward Island,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer pensylvanicum,Ontario,UBC,NA,46.904395,-80.081475,Canada,Least concern,NA0604,Boreal Shield,c(-80.081475, 46.904395)
Trees,Maple,Acer pensylvanicum,Northwest Territories,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer pensylvanicum,Nova Scotia,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer pensylvanicum,New Brunswick,UBC,NA,45.716667,-67.566667,Canada,Least concern,NA0411,Northern Appalachian / Acadian,c(-67.566667, 45.716667)
Trees,Maple,Acer pensylvanicum,New Brunswick,UBC,NA,45.716667,-67.566667,Canada,Least concern,NA0411,Northern Appalachian / Acadian,c(-67.566667, 45.716667)
Trees,Maple,Acer pensylvanicum,New Brunswick,UBC,NA,45.716667,-67.566667,Canada,Least concern,NA0411,Northern Appalachian / Acadian,c(-67.566667, 45.716667)
Trees,Maple,Acer pensylvanicum,New Brunswick,UBC,NA,45.716667,-67.566667,Canada,Least concern,NA0411,Northern Appalachian / Acadian,c(-67.566667, 45.716667)
Trees,Maple,Acer pensylvanicum,New Brunswick,UBC,NA,45.716667,-67.566667,Canada,Least concern,NA0411,Northern Appalachian / Acadian,c(-67.566667, 45.716667)
Trees,Maple,Acer rubrum,British Columbia,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer rubrum,Quebec,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,Acer rubrum,Ontario,UBC,NA,46.932305,-80.098145,Canada,Least concern,NA0604,Boreal Shield,c(-80.098145, 46.932305)
Trees,Maple,Acer rubrum,Ontario,UBC,NA,46.932305,-80.098145,Canada,Least concern,NA0604,Boreal Shield,c(-80.098145, 46.932305)
Trees,Maple,Acer rubrum,Ontario,UBC,NA,46.932305,-80.098145,Canada,Least concern,NA0604,Boreal Shield,c(-80.098145, 46.932305)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,46.481556,-84.010833,Canada,NA,NA0404,Great Lakes,c(-84.010833, 46.481556)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,42.7417885,-80.42821493,Canada,NA,NA0404,Great Lakes,c(-80.42821493, 42.7417885)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.06175847,-81.37332572,Canada,NA,NA0404,Great Lakes,c(-81.37332572, 44.06175847)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,46.481556,-84.010833,Canada,NA,NA0404,Great Lakes,c(-84.010833, 46.481556)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,42.5641,-81.624983,Canada,NA,NA0404,Great Lakes,c(-81.624983, 42.5641)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,42.5641,-81.624983,Canada,NA,NA0404,Great Lakes,c(-81.624983, 42.5641)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.524171,-76.46553,Canada,NA,NA0604,Boreal Shield,c(-76.46553, 44.524171)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.524171,-76.46553,Canada,NA,NA0604,Boreal Shield,c(-76.46553, 44.524171)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Great Lakes,c(-80.91652367, 43.93448804)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
Trees,Maple,Acer rubrum,Ontario,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Great Lakes,c(-79.89972421, 44.41269107)
